id_tarea;nombre_tarea;tiempo_ejecucion;es_critica?;nivel_prioridad
103;Análisis de datos;120;True;93
107;Actualización de software;60;False;15
111;Backup del sistema;180;True;72
115;Mantenimiento de hardware;240;False;61
119;Monitoreo de red;120;True;21
123;Optimización de base de datos;300;False;83
127;Configuración de servidores;360;True;87
131;Implementación de seguridad;180;True;75
135;Pruebas de rendimiento;240;False;75
139;Documentación del sistema;120;False;88
143;Análisis de datos;120;True;70
147;Actualización de software;60;False;22
151;Backup del sistema;180;True;92
155;Mantenimiento de hardware;240;False;52
